"","mzmed","mzmin","mzmax","rtmed","rtmin","rtmax","npeaks","blank","sample","LCMS_1","LCMS_2","LCMSMS_1","LCMSMS_2","blank_median_I","sample_median_I","blank_RSD_I","sample_RSD_I","blank_coverage","sample_coverage","blank_RSD_RT","sample_RSD_RT","rsd_all_RT","grpid","blank_valid","sample_valid","all_sample_valid","mzmin_full","mzmax_full","rtmin_full","rtmax_full","mzmin_full.1","mzmax_full.1","rtmin_full.1","rtmax_full.1","xcmsIDx"
"21",119.074529570382,119.032435463046,119.089691582342,48.4864032,42.1014018,118.960884,6,2,2,115124369.637578,114749491.522102,43924046.214145,40892171.896101,114936930.57984,42408109.055123,0.230629838672938,5.05530413347971,1,1,0.137708713730828,0.224207249207119,8.08436029154716,21,1,1,1,118.994689941406,119.089706420898,31.6070118,60.634806,118.994689941406,119.089706420898,31.6070118,60.634806,1
"2210",120.032809767793,120.003498499241,120.065648790644,39.6883176,35.7968838,43.3414116,4,2,2,7752882.82934442,7871950.62344279,22950926.5548817,23490057.5152331,7812416.7263936,23220492.0350574,1.07769013835935,1.64175314388937,1,1,0.779553831730071,0.259050950802686,10.5962308093036,22,1,1,1,119.960556030273,120.044403076172,23.012628,47.1993852,119.960556030273,120.044403076172,23.012628,47.1993852,1
"23",120.080763643753,120.080761985444,120.080765302062,144.301863,144.075834,144.527892,2,2,0,954464084.711364,966937107.203976,NA,NA,960700595.95767,NA,0.918054888643672,NA,1,0,0.221517082762573,NA,0.221517082762573,23,1,0,0,120.080657958984,120.080947875977,131.861808,156.397074,120.080657958984,120.080947875977,131.861808,156.397074,1
"24",120.968215882206,120.967316430612,121.06522523376,41.0266044,34.1831382,70.627524,6,2,2,13808236.4563226,12750852.6735465,17337141.8235872,17043660.8150795,13279544.5649345,17190401.3193334,5.63033799436178,1.20719933997029,1,1,0.159773753927561,0.247530952240256,10.4435950394622,24,1,1,1,120.956550598145,121.028564453125,20.8237068,45.5946402,120.956550598145,121.028564453125,20.8237068,45.5946402,1
"25",121.083714800787,121.083657600565,121.083772001009,144.144549,143.761206,144.527892,2,2,0,91793503.8235662,92791027.7605343,NA,NA,92292265.7920503,NA,0.764263326046541,NA,1,0,0.37610084696356,NA,0.37610084696356,25,1,0,0,120.966049194336,121.084289550781,131.861808,156.397074,120.966049194336,121.084289550781,131.861808,156.397074,1
"26",122.080287400406,122.080067306416,122.080453113295,42.617055,40.5175122,45.5280288,4,2,2,7227197.66819983,6978739.16006931,5105992.45721207,4924703.29596479,7102968.41413457,5015347.87658843,2.47342640005235,2.55597016254777,1,1,0.144585011778418,1.40283647821971,6.15678052762981,26,1,1,1,122.023620605469,122.08130645752,28.4066382,53.592393,122.023620605469,122.08130645752,28.4066382,53.592393,1
"27",122.081574448006,122.081533336026,122.081615559986,144.144549,143.761206,144.527892,2,2,0,4555620.76929014,4527361.90814438,NA,NA,4541491.33871726,NA,0.439988339830775,NA,1,0,0.37610084696356,NA,0.37610084696356,27,1,0,0,122.047584533691,122.087524414062,132.19581,156.397074,122.047584533691,122.087524414062,132.19581,156.397074,1
"28",122.923969744417,122.923397073592,122.924542415241,36.3123573,36.1143828,36.5103318,2,2,0,994973.28924792,1147288.47509013,NA,NA,1071130.88216903,NA,10.0550831443326,NA,1,0,0.771027395965914,NA,0.771027395965914,28,1,0,0,122.764503479004,122.924652099609,23.4446472,47.5202658,122.764503479004,122.924652099609,23.4446472,47.5202658,1
"29",123.050584394375,123.049818833802,123.055268176797,67.556532,60.92952,138.334644,6,2,2,158305159.804638,153909733.260753,97914301.7994001,95789846.6871885,156107446.532696,96852074.2432943,1.99095942212947,1.55104227545777,1,1,0.475617543092801,0.162240979911526,5.76842271310988,29,1,1,1,123.043983459473,123.055297851562,48.8016432,72.972162,123.043983459473,123.055297851562,48.8016432,72.972162,1
"30",124.05864909588,124.057959764831,124.062167533154,63.001101,56.1521442,138.334644,6,2,2,145431525.011648,144534654.378723,86505722.4585287,86940884.4469309,144983089.695186,86723303.4527298,0.437418810512384,0.354813505324495,1,1,0.512324170764818,0.17299570147418,6.43531110268141,30,1,1,1,124.039138793945,124.086906433105,44.0067648,68.21841,124.039138793945,124.086906433105,44.0067648,68.21841,1
"31",125.035068674842,125.02637248843,125.066354267968,86.812071,53.592393,92.151306,6,2,2,11793092.0708585,12327470.6293476,6250350.91025324,6499187.99072087,12060281.3501031,6374769.45048706,3.13311681095322,2.76016863630849,1,1,0.597909234977516,0.154688264719023,3.39970254525284,31,1,1,1,124.90779876709,125.026588439941,76.843296,97.436418,124.90779876709,125.026588439941,76.843296,97.436418,1
"32",126.053723186777,126.053588569173,126.05385780438,37.2564237,37.1410872,37.3717602,2,2,0,7243892.13827603,7222471.31442852,NA,NA,7233181.72635228,NA,0.209407289547188,NA,1,0,0.43780488393104,NA,0.43780488393104,32,1,0,0,126.052383422852,126.091384887695,25.5880068,48.8907258,126.052383422852,126.091384887695,25.5880068,48.8907258,1
"33",127.034611474597,127.033846399197,127.035375745454,48.5852124,44.7235998,52.3652958,4,2,2,5778255.36625848,6114165.98667433,12116322.167888,11492517.3345927,5946210.6764664,11804419.7512403,3.99455536462385,3.73670741176177,1,1,0.366704690172548,0.204208224526725,8.85971070910386,33,1,1,1,127.032211303711,127.039054870605,28.484205,57.421269,127.032211303711,127.039054870605,28.484205,57.421269,1
"34",127.055258708288,127.055110606362,127.055406810214,204.792507,204.744468,204.840546,2,2,0,8743356.82199864,8834261.60615646,NA,NA,8788809.21407755,NA,0.73137768444592,NA,1,0,0.0331737749188377,NA,0.0331737749188377,34,1,0,0,127.050064086914,127.075286865234,191.723214,217.676058,127.050064086914,127.075286865234,191.723214,217.676058,1
"35",128.041484860683,128.038598678254,128.044321723849,39.5699382,37.3717602,41.826645,4,2,2,8232833.1059178,8522191.52250432,8162708.39253817,8229146.42499749,8377512.31421106,8195927.40876783,2.44233957394072,0.573196673636005,1,1,0.157721716337432,0.240435227555285,6.33543251246494,35,1,1,1,128.031616210938,128.070678710938,26.3598978,50.392518,128.031616210938,128.070678710938,26.3598978,50.392518,1
"36",129.087122864064,129.086328484896,129.087917243232,52.9964964,52.309641,53.6833518,2,2,0,6347005.21857269,6156783.93774892,NA,NA,6251894.5781608,NA,2.15145594531204,NA,1,0,1.83287629947779,NA,1.83287629947779,36,1,0,0,129.05207824707,129.127243041992,39.5721396,65.03991,129.05207824707,129.127243041992,39.5721396,65.03991,1
"37",130.051320939226,130.049894683188,130.05279913059,37.225317,33.8570268,40.331784,4,2,2,88348092.228703,92490953.1347277,70916461.6691296,69467394.1308744,90419522.6817154,70191927.900002,3.23983687734629,1.45977680532908,1,1,0.837591156012315,0.248717456709705,9.64780821993162,37,1,1,1,130.049667358398,130.04997253418,20.3967612,46.2351402,130.049667358398,130.04997253418,20.3967612,46.2351402,1
"38",130.078318018809,130.07816269259,130.078473345029,254.670591,254.557482,254.7837,2,2,0,18937626.8533804,18793055.3545807,NA,NA,18865341.1039806,NA,0.541879876987954,NA,1,0,0.0628106610968796,NA,0.0628106610968796,38,1,0,0,130.064880371094,130.158996582031,242.006244,266.849136,130.064880371094,130.158996582031,242.006244,266.849136,1
"39",131.059752736437,131.057707209433,131.061036320678,36.6780588,33.5293962,40.331784,4,2,2,4853980.11679757,4908245.17054001,3836629.19350492,3809267.96659921,4881112.64366879,3822948.58005207,0.786115590520085,0.506083424390488,1,1,0.845992990971835,1.61117691588351,9.70456778271025,39,1,1,1,131.05241394043,131.11784362793,20.3967612,46.5561408,131.05241394043,131.11784362793,20.3967612,46.5561408,1
"40",131.035732491589,131.035528987398,131.035935995779,143.829915,143.446698,144.213132,2,2,0,21513110.2705357,21689222.811132,NA,NA,21601166.5408338,NA,0.576498363976078,NA,1,0,0.376799693396143,NA,0.376799693396143,40,1,0,0,131.001312255859,131.049011230469,131.527314,156.053562,131.001312255859,131.049011230469,131.527314,156.053562,1
"41",132.101775612878,132.101718681665,132.101827805179,70.920255,67.903296,73.692786,4,2,2,3455044746.69215,3379259899.99221,2879676651.25769,2794252073.33772,3417152323.34218,2836964362.2977,1.56820574390713,2.12918777302803,1,1,0.423639159370964,0.157167545478579,4.49145294710918,41,1,1,1,132.101669311523,132.101852416992,56.1521442,80.058426,132.101669311523,132.101852416992,56.1521442,80.058426,1
"42",133.088961550053,133.08780898467,133.08998945716,69.203826,65.99241,72.171048,4,2,2,295511931.25192,291198885.648078,236921611.727035,232123773.059148,293355408.449999,234522692.393092,1.03962078291241,1.44659104092822,1,1,0.436686150560075,0.161469169653695,4.92670282133525,42,1,1,1,133.031539916992,133.105087280273,53.271639,78.769044,133.031539916992,133.105087280273,53.271639,78.769044,1
